# variable: T
# units: $^oC$
date leadtime location lat lon altitude obs fcst p0 p11 pit
20120102 2 415 49.35 -122.77 0 -1.65 -3.10 0.999 1.000 0.93
20120102 3 415 49.35 -122.77 0 -2.23 -0.89 0.812 1.000 0.09
20120102 4 415 49.35 -122.77 0 -1.56 -0.48 0.683 1.000 0.14
20120102 5 415 49.35 -122.77 0 -0.41 1.42 0.072 1.000 0.03
20120102 6 415 49.35 -122.77 0 1.56 3.71 0.000 1.000 0.02
20120102 7 415 49.35 -122.77 0 2.31 5.51 0.000 1.000 0.00
20120102 8 415 49.35 -122.77 0 2.78 6.23 0.000 1.000 0.00
20120102 9 415 49.35 -122.77 0 4.89 7.30 0.000 1.000 0.01
20120102 10 415 49.35 -122.77 0 5.44 8.14 0.000 0.990 0.01
20120102 11 415 49.35 -122.77 0 4.79 8.43 0.000 0.980 0.00
20120102 12 415 49.35 -122.77 0 4.21 9.00 0.000 0.947 0.00
20120102 13 415 49.35 -122.77 0 4.45 9.55 0.000 0.896 0.00
20120102 14 415 49.35 -122.77 0 4.03 8.41 0.000 0.989 0.00
20120102 15 415 49.35 -122.77 0 4.12 6.90 0.000 0.999 0.01
20120102 16 415 49.35 -122.77 0 2.90 6.43 0.000 1.000 0.00
20120102 17 415 49.35 -122.77 0 1.20 3.88 0.001 1.000 0.01
20120102 18 415 49.35 -122.77 0 1.21 2.82 0.003 1.000 0.06
20120102 19 415 49.35 -122.77 0 -0.38 0.71 0.244 1.000 0.14
20120102 20 415 49.35 -122.77 0 -1.00 -0.10 0.538 1.000 0.18
20120102 21 415 49.35 -122.77 0 -1.53 -1.10 0.872 1.000 0.33
20120102 22 415 49.35 -122.77 0 -2.35 -2.28 0.990 1.000 0.47
20120102 23 415 49.35 -122.77 0 -3.66 -2.10 0.984 1.000 0.06
20120102 24 415 49.35 -122.77 0 -5.03 -3.55 0.999 1.000 0.11
20120103 0 415 49.35 -122.77 0 -5.03 -5.19 1.000 1.000 0.56
20120103 1 415 49.35 -122.77 0 -5.37 -4.96 1.000 1.000 0.34
20120103 2 415 49.35 -122.77 0 -5.00 -3.62 1.000 1.000 0.08
20120103 3 415 49.35 -122.77 0 -4.04 -4.16 1.000 1.000 0.55
20120103 4 415 49.35 -122.77 0 -3.28 -2.23 0.986 1.000 0.15
20120103 5 415 49.35 -122.77 0 -1.78 0.64 0.265 1.000 0.01
20120103 6 415 49.35 -122.77 0 -0.89 0.67 0.261 1.000 0.07
20120103 7 415 49.35 -122.77 0 0.69 2.80 0.013 1.000 0.05
20120103 8 415 49.35 -122.77 0 1.28 4.83 0.000 1.000 0.00
20120103 9 415 49.35 -122.77 0 1.71 5.07 0.000 1.000 0.00
20120103 10 415 49.35 -122.77 0 2.94 6.02 0.000 1.000 0.01
20120103 11 415 49.35 -122.77 0 3.14 8.41 0.000 0.968 0.00
20120103 12 415 49.35 -122.77 0 2.26 7.88 0.000 0.982 0.00
20120103 13 415 49.35 -122.77 0 1.92 6.88 0.000 0.998 0.00
20120103 14 415 49.35 -122.77 0 1.99 4.94 0.000 1.000 0.02
20120103 15 415 49.35 -122.77 0 1.32 5.47 0.000 1.000 0.00
20120103 16 415 49.35 -122.77 0 0.31 3.74 0.002 1.000 0.00
20120103 17 415 49.35 -122.77 0 -0.25 1.55 0.111 1.000 0.08
20120103 18 415 49.35 -122.77 0 -1.08 1.44 0.088 1.000 0.01
20120103 19 415 49.35 -122.77 0 -2.59 -1.46 0.923 1.000 0.14
20120103 20 415 49.35 -122.77 0 -2.58 -2.10 0.983 1.000 0.32
20120103 21 415 49.35 -122.77 0 -3.70 -2.85 0.999 1.000 0.18
20120103 22 415 49.35 -122.77 0 -4.26 -4.62 1.000 1.000 0.65
20120103 23 415 49.35 -122.77 0 -5.08 -4.90 1.000 1.000 0.43
20120103 24 415 49.35 -122.77 0 -6.71 -4.60 1.000 1.000 0.05
20120104 0 415 49.35 -122.77 0 -6.71 -6.02 1.000 1.000 0.25
20120104 1 415 49.35 -122.77 0 -6.81 -5.61 1.000 1.000 0.11
20120104 2 415 49.35 -122.77 0 -6.41 -5.92 1.000 1.000 0.31
20120104 3 415 49.35 -122.77 0 -5.83 -5.31 1.000 1.000 0.30
20120104 4 415 49.35 -122.77 0 -4.98 -3.72 1.000 1.000 0.11
20120104 5 415 49.35 -122.77 0 -4.11 -1.67 0.937 1.000 0.01
20120104 6 415 49.35 -122.77 0 -2.66 -0.10 0.538 1.000 0.01
20120104 7 415 49.35 -122.77 0 -1.93 0.41 0.375 1.000 0.03
20120104 8 415 49.35 -122.77 0 -1.08 2.44 0.041 1.000 0.01
20120104 9 415 49.35 -122.77 0 -0.57 3.69 0.002 1.000 0.00
20120104 10 415 49.35 -122.77 0 0.29 6.60 0.000 0.999 0.00
20120104 11 415 49.35 -122.77 0 0.92 6.16 0.000 0.998 0.00
20120104 12 415 49.35 -122.77 0 1.96 7.09 0.000 0.985 0.00
20120104 13 415 49.35 -122.77 0 0.69 5.91 0.000 0.999 0.00
20120104 14 415 49.35 -122.77 0 0.91 5.10 0.000 1.000 0.00
20120104 15 415 49.35 -122.77 0 0.35 4.38 0.002 1.000 0.00
20120104 16 415 49.35 -122.77 0 -1.34 3.25 0.010 1.000 0.00
20120104 17 415 49.35 -122.77 0 -1.93 2.58 0.023 1.000 0.00
20120104 18 415 49.35 -122.77 0 -2.80 0.65 0.284 1.000 0.00
20120104 19 415 49.35 -122.77 0 -4.13 -1.22 0.883 1.000 0.00
20120104 20 415 49.35 -122.77 0 -3.84 -3.59 1.000 1.000 0.40
20120104 21 415 49.35 -122.77 0 -5.77 -4.13 1.000 1.000 0.04
20120104 22 415 49.35 -122.77 0 -6.67 -6.27 1.000 1.000 0.34
20120104 23 415 49.35 -122.77 0 -6.94 -6.31 1.000 1.000 0.26
20120104 24 415 49.35 -122.77 0 -8.82 -6.87 1.000 1.000 0.07
20120105 0 415 49.35 -122.77 0 -8.82 -8.13 1.000 1.000 0.26
20120105 1 415 49.35 -122.77 0 -8.30 -7.37 1.000 1.000 0.17
20120105 2 415 49.35 -122.77 0 -8.02 -7.16 1.000 1.000 0.19
20120105 3 415 49.35 -122.77 0 -7.62 -6.03 1.000 1.000 0.05
20120105 4 415 49.35 -122.77 0 -6.37 -5.59 1.000 1.000 0.22
20120105 5 415 49.35 -122.77 0 -5.61 -4.78 1.000 1.000 0.24
20120105 6 415 49.35 -122.77 0 -5.01 -2.62 0.988 1.000 0.02
20120105 7 415 49.35 -122.77 0 -4.15 -0.68 0.695 1.000 0.00
20120105 8 415 49.35 -122.77 0 -3.06 -0.55 0.642 1.000 0.05
20120105 9 415 49.35 -122.77 0 -2.18 0.91 0.271 1.000 0.02
20120105 10 415 49.35 -122.77 0 -1.28 2.91 0.053 1.000 0.01
20120105 11 415 49.35 -122.77 0 -1.44 3.60 0.030 1.000 0.00
20120105 12 415 49.35 -122.77 0 0.09 3.55 0.038 1.000 0.04
20120105 13 415 49.35 -122.77 0 -1.68 2.38 0.108 1.000 0.02
20120105 14 415 49.35 -122.77 0 -0.99 1.51 0.175 1.000 0.06
20120105 15 415 49.35 -122.77 0 -1.56 0.79 0.319 1.000 0.08
20120105 16 415 49.35 -122.77 0 -3.23 0.10 0.476 1.000 0.02
20120105 17 415 49.35 -122.77 0 -3.57 -0.73 0.685 1.000 0.03
20120105 18 415 49.35 -122.77 0 -5.45 -1.42 0.865 1.000 0.00
20120105 19 415 49.35 -122.77 0 -6.03 -3.81 1.000 1.000 0.03
20120105 20 415 49.35 -122.77 0 -6.30 -6.94 1.000 1.000 0.74
20120105 21 415 49.35 -122.77 0 -6.71 -7.99 1.000 1.000 0.90
20120105 22 415 49.35 -122.77 0 -8.70 -7.45 1.000 1.000 0.09
20120105 23 415 49.35 -122.77 0 -8.40 -8.46 1.000 1.000 0.52
20120105 24 415 49.35 -122.77 0 -8.71 -9.23 1.000 1.000 0.65
20120106 0 415 49.35 -122.77 0 -8.71 -9.31 1.000 1.000 0.72
20120106 1 415 49.35 -122.77 0 -8.50 -9.05 1.000 1.000 0.72
20120106 2 415 49.35 -122.77 0 -8.06 -9.66 1.000 1.000 0.95
20120106 3 415 49.35 -122.77 0 -8.14 -8.78 1.000 1.000 0.74
20120106 4 415 49.35 -122.77 0 -7.65 -6.93 1.000 1.000 0.24
20120106 5 415 49.35 -122.77 0 -6.27 -5.38 1.000 1.000 0.22
20120106 6 415 49.35 -122.77 0 -4.14 -5.02 1.000 1.000 0.76
20120106 7 415 49.35 -122.77 0 -4.06 -2.36 0.947 1.000 0.12
20120106 8 415 49.35 -122.77 0 -3.78 -1.08 0.755 1.000 0.04
20120106 9 415 49.35 -122.77 0 -2.38 0.97 0.267 1.000 0.02
20120106 10 415 49.35 -122.77 0 -1.70 1.53 0.213 1.000 0.05
20120106 11 415 49.35 -122.77 0 -1.17 2.27 0.139 1.000 0.05
20120106 12 415 49.35 -122.77 0 -1.35 2.63 0.101 1.000 0.03
20120106 13 415 49.35 -122.77 0 -1.19 2.27 0.133 1.000 0.04
20120106 14 415 49.35 -122.77 0 -1.25 1.56 0.174 1.000 0.05
20120106 15 415 49.35 -122.77 0 -2.48 -0.32 0.575 1.000 0.10
20120106 16 415 49.35 -122.77 0 -2.74 1.00 0.278 1.000 0.01
20120106 17 415 49.35 -122.77 0 -4.54 -2.28 0.926 1.000 0.07
20120106 18 415 49.35 -122.77 0 -5.21 -4.58 0.999 1.000 0.33
20120106 19 415 49.35 -122.77 0 -6.09 -5.32 1.000 1.000 0.26
20120106 20 415 49.35 -122.77 0 -7.16 -6.68 1.000 1.000 0.31
20120106 21 415 49.35 -122.77 0 -7.53 -7.19 1.000 1.000 0.37
20120106 22 415 49.35 -122.77 0 -8.59 -8.05 1.000 1.000 0.28
20120106 23 415 49.35 -122.77 0 -8.68 -9.79 1.000 1.000 0.88
20120106 24 415 49.35 -122.77 0 -7.73 -9.42 1.000 1.000 0.89
20120107 0 415 49.35 -122.77 0 -7.73 -8.52 1.000 1.000 0.78
20120107 1 415 49.35 -122.77 0 -7.78 -8.70 1.000 1.000 0.83
20120107 2 415 49.35 -122.77 0 -6.77 -7.12 1.000 1.000 0.64
20120107 3 415 49.35 -122.77 0 -7.19 -6.62 1.000 1.000 0.29
20120107 4 415 49.35 -122.77 0 -6.07 -5.79 1.000 1.000 0.39
20120107 5 415 49.35 -122.77 0 -5.00 -3.69 0.999 1.000 0.13
20120107 6 415 49.35 -122.77 0 -3.05 -3.88 0.999 1.000 0.76
20120107 7 415 49.35 -122.77 0 -3.31 -0.94 0.738 1.000 0.05
20120107 8 415 49.35 -122.77 0 -1.75 0.65 0.344 1.000 0.07
20120107 9 415 49.35 -122.77 0 -1.45 1.37 0.203 1.000 0.04
20120107 10 415 49.35 -122.77 0 -0.79 3.55 0.037 1.000 0.01
20120107 11 415 49.35 -122.77 0 -0.84 3.45 0.054 1.000 0.02
20120107 12 415 49.35 -122.77 0 -0.49 4.88 0.012 0.998 0.01
20120107 13 415 49.35 -122.77 0 -1.04 3.83 0.034 1.000 0.01
20120107 14 415 49.35 -122.77 0 -0.91 2.31 0.088 1.000 0.03
20120107 15 415 49.35 -122.77 0 -0.53 0.97 0.288 1.000 0.19
20120107 16 415 49.35 -122.77 0 -1.97 0.73 0.343 1.000 0.07
20120107 17 415 49.35 -122.77 0 -3.15 -1.16 0.766 1.000 0.11
20120107 18 415 49.35 -122.77 0 -3.97 -2.37 0.949 1.000 0.13
20120107 19 415 49.35 -122.77 0 -6.12 -4.64 1.000 1.000 0.11
20120107 20 415 49.35 -122.77 0 -6.55 -4.74 1.000 1.000 0.03
20120107 21 415 49.35 -122.77 0 -7.23 -8.06 1.000 1.000 0.80
20120107 22 415 49.35 -122.77 0 -7.29 -8.02 1.000 1.000 0.78
20120107 23 415 49.35 -122.77 0 -8.54 -8.54 1.000 1.000 0.50
20120107 24 415 49.35 -122.77 0 -4.96 -7.79 1.000 1.000 0.98
20120108 0 415 49.35 -122.77 0 -4.96 -5.09 1.000 1.000 0.55
20120108 1 415 49.35 -122.77 0 -4.63 -5.27 1.000 1.000 0.75
20120108 2 415 49.35 -122.77 0 -4.95 -5.49 1.000 1.000 0.70
20120108 3 415 49.35 -122.77 0 -4.06 -3.59 1.000 1.000 0.32
20120108 4 415 49.35 -122.77 0 -3.41 -2.66 0.996 1.000 0.23
20120108 5 415 49.35 -122.77 0 -1.90 -0.49 0.664 1.000 0.11
20120108 6 415 49.35 -122.77 0 -0.99 -0.08 0.525 1.000 0.22
20120108 7 415 49.35 -122.77 0 0.13 1.39 0.178 1.000 0.20
20120108 8 415 49.35 -122.77 0 1.53 3.63 0.014 1.000 0.10
20120108 9 415 49.35 -122.77 0 1.96 4.65 0.003 1.000 0.06
20120108 10 415 49.35 -122.77 0 2.40 6.68 0.001 0.980 0.02
20120108 11 415 49.35 -122.77 0 2.89 7.26 0.001 0.951 0.03
20120108 12 415 49.35 -122.77 0 2.45 5.05 0.015 0.995 0.13
20120108 13 415 49.35 -122.77 0 2.96 5.72 0.005 0.991 0.11
20120108 14 415 49.35 -122.77 0 2.36 5.73 0.001 0.998 0.03
20120108 15 415 49.35 -122.77 0 1.43 5.64 0.001 0.999 0.01
20120108 16 415 49.35 -122.77 0 0.35 2.70 0.071 1.000 0.10
20120108 17 415 49.35 -122.77 0 -0.11 2.55 0.057 1.000 0.05
20120108 18 415 49.35 -122.77 0 -1.03 0.89 0.269 1.000 0.09
20120108 19 415 49.35 -122.77 0 -2.12 0.07 0.476 1.000 0.03
20120108 20 415 49.35 -122.77 0 -3.21 -2.98 0.999 1.000 0.41
20120108 21 415 49.35 -122.77 0 -3.44 -3.43 1.000 1.000 0.50
20120108 22 415 49.35 -122.77 0 -4.97 -4.08 1.000 1.000 0.17
20120108 23 415 49.35 -122.77 0 -5.15 -4.64 1.000 1.000 0.30
20120108 24 415 49.35 -122.77 0 -4.51 -4.94 1.000 1.000 0.62
20120109 0 415 49.35 -122.77 0 -4.51 -5.37 1.000 1.000 0.80
20120109 1 415 49.35 -122.77 0 -4.06 -4.28 1.000 1.000 0.59
20120109 2 415 49.35 -122.77 0 -4.13 -4.83 1.000 1.000 0.76
20120109 3 415 49.35 -122.77 0 -3.56 -3.00 0.999 1.000 0.29
20120109 4 415 49.35 -122.77 0 -2.06 -1.20 0.889 1.000 0.19
20120109 5 415 49.35 -122.77 0 -1.17 -1.00 0.805 1.000 0.44
20120109 6 415 49.35 -122.77 0 -1.08 1.74 0.071 1.000 0.01
20120109 7 415 49.35 -122.77 0 0.42 2.78 0.032 1.000 0.06
20120109 8 415 49.35 -122.77 0 1.94 4.13 0.007 1.000 0.09
20120109 9 415 49.35 -122.77 0 1.79 6.09 0.000 0.997 0.01
20120109 10 415 49.35 -122.77 0 3.18 6.63 0.001 0.976 0.06
20120109 11 415 49.35 -122.77 0 3.44 6.18 0.004 0.980 0.12
20120109 12 415 49.35 -122.77 0 3.88 7.38 0.001 0.939 0.07
20120109 13 415 49.35 -122.77 0 3.07 7.26 0.001 0.951 0.03
20120109 14 415 49.35 -122.77 0 2.87 7.14 0.000 0.982 0.01
20120109 15 415 49.35 -122.77 0 1.93 5.29 0.002 0.999 0.03
20120109 16 415 49.35 -122.77 0 1.18 3.70 0.023 1.000 0.09
20120109 17 415 49.35 -122.77 0 0.66 1.54 0.177 1.000 0.30
20120109 18 415 49.35 -122.77 0 -0.61 0.92 0.265 1.000 0.15
20120109 19 415 49.35 -122.77 0 -2.16 0.05 0.483 1.000 0.04
20120109 20 415 49.35 -122.77 0 -2.76 -1.73 0.962 1.000 0.14
20120109 21 415 49.35 -122.77 0 -3.79 -2.91 0.999 1.000 0.18
20120109 22 415 49.35 -122.77 0 -3.59 -4.66 1.000 1.000 0.88
20120109 23 415 49.35 -122.77 0 -4.49 -4.72 1.000 1.000 0.60
20120109 24 415 49.35 -122.77 0 -7.23 -4.92 1.000 1.000 0.05
20120110 0 415 49.35 -122.77 0 -7.23 -8.92 1.000 1.000 0.96
20120110 1 415 49.35 -122.77 0 -7.76 -8.47 1.000 1.000 0.78
20120110 2 415 49.35 -122.77 0 -7.62 -8.62 1.000 1.000 0.85
20120110 3 415 49.35 -122.77 0 -6.82 -7.29 1.000 1.000 0.69
20120110 4 415 49.35 -122.77 0 -6.14 -6.01 1.000 1.000 0.45
20120110 5 415 49.35 -122.77 0 -4.85 -4.98 1.000 1.000 0.55
20120110 6 415 49.35 -122.77 0 -3.42 -2.80 0.986 1.000 0.32
20120110 7 415 49.35 -122.77 0 -2.96 -0.33 0.584 1.000 0.04
20120110 8 415 49.35 -122.77 0 -2.32 1.62 0.168 1.000 0.01
20120110 9 415 49.35 -122.77 0 -1.32 2.76 0.073 1.000 0.02
20120110 10 415 49.35 -122.77 0 -0.25 1.88 0.203 1.000 0.17
20120110 11 415 49.35 -122.77 0 -0.74 2.74 0.124 1.000 0.07
20120110 12 415 49.35 -122.77 0 0.00 3.03 0.102 1.000 0.10
20120110 13 415 49.35 -122.77 0 0.26 3.78 0.054 0.999 0.07
20120110 14 415 49.35 -122.77 0 -0.76 2.20 0.133 1.000 0.07
20120110 15 415 49.35 -122.77 0 -0.73 1.63 0.198 1.000 0.11
20120110 16 415 49.35 -122.77 0 -1.76 1.11 0.278 1.000 0.06
20120110 17 415 49.35 -122.77 0 -3.30 -0.21 0.552 1.000 0.03
20120110 18 415 49.35 -122.77 0 -3.84 -2.72 0.968 1.000 0.22
20120110 19 415 49.35 -122.77 0 -4.73 -4.56 1.000 1.000 0.45
20120110 20 415 49.35 -122.77 0 -5.69 -5.26 1.000 1.000 0.33
20120110 21 415 49.35 -122.77 0 -6.89 -6.74 1.000 1.000 0.44
20120110 22 415 49.35 -122.77 0 -7.47 -8.01 1.000 1.000 0.72
20120110 23 415 49.35 -122.77 0 -8.53 -8.69 1.000 1.000 0.57
20120110 24 415 49.35 -122.77 0 -8.13 -8.23 1.000 1.000 0.53
20120111 0 415 49.35 -122.77 0 -8.13 -8.85 1.000 1.000 0.76
20120111 1 415 49.35 -122.77 0 -8.88 -8.66 1.000 1.000 0.41
20120111 2 415 49.35 -122.77 0 -8.57 -7.18 1.000 1.000 0.08
20120111 3 415 49.35 -122.77 0 -7.14 -6.36 1.000 1.000 0.21
20120111 4 415 49.35 -122.77 0 -5.69 -6.30 1.000 1.000 0.74
20120111 5 415 49.35 -122.77 0 -6.30 -5.08 1.000 1.000 0.14
20120111 6 415 49.35 -122.77 0 -4.26 -2.79 0.986 1.000 0.12
20120111 7 415 49.35 -122.77 0 -3.64 -1.27 0.788 1.000 0.07
20120111 8 415 49.35 -122.77 0 -3.23 0.39 0.414 1.000 0.02
20120111 9 415 49.35 -122.77 0 -2.28 1.13 0.286 1.000 0.04
20120111 10 415 49.35 -122.77 0 -0.23 1.26 0.289 1.000 0.25
20120111 11 415 49.35 -122.77 0 -0.35 2.79 0.124 1.000 0.10
20120111 12 415 49.35 -122.77 0 -0.46 3.48 0.075 0.999 0.05
20120111 13 415 49.35 -122.77 0 -0.87 3.96 0.050 0.998 0.02
20120111 14 415 49.35 -122.77 0 -1.29 0.67 0.370 1.000 0.17
20120111 15 415 49.35 -122.77 0 -2.09 0.40 0.419 1.000 0.10
20120111 16 415 49.35 -122.77 0 -2.68 -0.43 0.588 1.000 0.12
20120111 17 415 49.35 -122.77 0 -3.56 -0.87 0.694 1.000 0.06
20120111 18 415 49.35 -122.77 0 -4.04 -2.94 0.978 1.000 0.23
20120111 19 415 49.35 -122.77 0 -6.08 -4.40 1.000 1.000 0.09
20120111 20 415 49.35 -122.77 0 -6.89 -5.26 1.000 1.000 0.04
20120111 21 415 49.35 -122.77 0 -6.81 -6.98 1.000 1.000 0.57
20120111 22 415 49.35 -122.77 0 -7.95 -7.96 1.000 1.000 0.51
20120111 23 415 49.35 -122.77 0 -8.31 -9.16 1.000 1.000 0.82
20120111 24 415 49.35 -122.77 0 -7.65 -7.65 1.000 1.000 0.50
20120112 0 415 49.35 -122.77 0 -7.65 -6.66 1.000 1.000 0.16
20120112 1 415 49.35 -122.77 0 -7.73 -7.01 1.000 1.000 0.21
20120112 2 415 49.35 -122.77 0 -6.40 -5.17 1.000 1.000 0.11
20120112 3 415 49.35 -122.77 0 -5.77 -3.71 1.000 1.000 0.01
20120112 4 415 49.35 -122.77 0 -4.78 -3.55 1.000 1.000 0.10
20120112 5 415 49.35 -122.77 0 -4.27 -1.46 0.904 1.000 0.01
20120112 6 415 49.35 -122.77 0 -3.01 -0.07 0.523 1.000 0.01
20120112 7 415 49.35 -122.77 0 -2.03 0.65 0.344 1.000 0.05
20120112 8 415 49.35 -122.77 0 -1.41 2.78 0.071 1.000 0.01
20120112 9 415 49.35 -122.77 0 -0.11 3.80 0.033 1.000 0.03
20120112 10 415 49.35 -122.77 0 0.35 5.34 0.009 0.994 0.01
20120112 11 415 49.35 -122.77 0 1.19 5.74 0.009 0.984 0.03
20120112 12 415 49.35 -122.77 0 0.50 5.65 0.011 0.985 0.02
20120112 13 415 49.35 -122.77 0 1.25 5.76 0.011 0.981 0.04
20120112 14 415 49.35 -122.77 0 0.68 3.35 0.048 1.000 0.09
20120112 15 415 49.35 -122.77 0 0.01 4.33 0.014 1.000 0.01
20120112 16 415 49.35 -122.77 0 -0.74 3.88 0.023 1.000 0.01
20120112 17 415 49.35 -122.77 0 -2.12 0.14 0.468 1.000 0.10
20120112 18 415 49.35 -122.77 0 -2.31 -1.00 0.755 1.000 0.18
20120112 19 415 49.35 -122.77 0 -4.20 -1.55 0.887 1.000 0.02
20120112 20 415 49.35 -122.77 0 -4.92 -3.33 1.000 1.000 0.05
20120112 21 415 49.35 -122.77 0 -6.48 -4.31 1.000 1.000 0.01
20120112 22 415 49.35 -122.77 0 -6.24 -5.25 1.000 1.000 0.14
20120112 23 415 49.35 -122.77 0 -6.18 -6.40 1.000 1.000 0.59
20120112 24 415 49.35 -122.77 0 -2.29 -5.53 1.000 1.000 0.99
20120113 0 415 49.35 -122.77 0 -2.29 -1.33 0.904 1.000 0.17
20120113 1 415 49.35 -122.77 0 -1.98 -1.07 0.883 1.000 0.16
20120113 2 415 49.35 -122.77 0 -2.01 -1.13 0.869 1.000 0.19
20120113 3 415 49.35 -122.77 0 -1.51 1.06 0.146 1.000 0.01
20120113 4 415 49.35 -122.77 0 -0.44 1.19 0.109 1.000 0.05
20120113 5 415 49.35 -122.77 0 0.45 2.48 0.021 1.000 0.05
20120113 6 415 49.35 -122.77 0 0.85 4.67 0.000 1.000 0.00
20120113 7 415 49.35 -122.77 0 2.78 5.38 0.001 1.000 0.06
20120113 8 415 49.35 -122.77 0 3.21 7.06 0.000 0.975 0.03
20120113 9 415 49.35 -122.77 0 4.62 8.03 0.000 0.916 0.06
20120113 10 415 49.35 -122.77 0 4.54 10.38 0.000 0.603 0.01
20120113 11 415 49.35 -122.77 0 5.23 9.42 0.000 0.734 0.05
20120113 12 415 49.35 -122.77 0 5.29 10.80 0.000 0.531 0.02
20120113 13 415 49.35 -122.77 0 5.40 9.53 0.000 0.714 0.06
20120113 14 415 49.35 -122.77 0 4.51 10.27 0.000 0.639 0.00
20120113 15 415 49.35 -122.77 0 4.25 8.83 0.000 0.851 0.01
20120113 16 415 49.35 -122.77 0 3.41 8.06 0.000 0.921 0.01
20120113 17 415 49.35 -122.77 0 2.95 5.69 0.001 0.999 0.06
20120113 18 415 49.35 -122.77 0 1.59 4.07 0.002 1.000 0.04
20120113 19 415 49.35 -122.77 0 0.99 3.13 0.010 1.000 0.06
20120113 20 415 49.35 -122.77 0 -0.30 1.13 0.132 1.000 0.08
20120113 21 415 49.35 -122.77 0 -1.66 1.18 0.117 1.000 0.00
20120113 22 415 49.35 -122.77 0 -1.66 -1.59 0.961 1.000 0.47
20120113 23 415 49.35 -122.77 0 -2.03 -0.69 0.780 1.000 0.07
20120113 24 415 49.35 -122.77 0 -4.04 -1.66 0.884 1.000 0.04
20120114 0 415 49.35 -122.77 0 -4.04 -2.88 0.998 1.000 0.13
20120114 1 415 49.35 -122.77 0 -3.30 -3.46 1.000 1.000 0.57
20120114 2 415 49.35 -122.77 0 -3.13 -2.67 0.996 1.000 0.32
20120114 3 415 49.35 -122.77 0 -1.95 -1.11 0.845 1.000 0.22
20120114 4 415 49.35 -122.77 0 -2.03 -1.15 0.876 1.000 0.19
20120114 5 415 49.35 -122.77 0 -0.98 0.75 0.276 1.000 0.08
20120114 6 415 49.35 -122.77 0 0.72 1.15 0.222 1.000 0.39
20120114 7 415 49.35 -122.77 0 0.96 4.24 0.006 1.000 0.03
20120114 8 415 49.35 -122.77 0 1.50 4.65 0.013 0.999 0.07
20120114 9 415 49.35 -122.77 0 3.16 5.62 0.005 0.993 0.13
20120114 10 415 49.35 -122.77 0 3.73 7.80 0.001 0.894 0.06
20120114 11 415 49.35 -122.77 0 3.85 8.06 0.001 0.870 0.05
20120114 12 415 49.35 -122.77 0 3.96 8.37 0.001 0.830 0.06
20120114 13 415 49.35 -122.77 0 4.36 8.15 0.001 0.857 0.08
20120114 14 415 49.35 -122.77 0 3.45 6.65 0.002 0.972 0.08
20120114 15 415 49.35 -122.77 0 3.02 8.30 0.000 0.889 0.01
20120114 16 415 49.35 -122.77 0 2.10 6.26 0.002 0.984 0.03
20120114 17 415 49.35 -122.77 0 1.45 4.19 0.010 1.000 0.07
20120114 18 415 49.35 -122.77 0 0.37 2.35 0.058 1.000 0.09
20120114 19 415 49.35 -122.77 0 -1.08 0.80 0.281 1.000 0.09
